Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Botafogo (RJ),8,7,0,1,16,6,10,21,2.63,12.7,9.9,2.8,0.35
2,Palmeiras,8,4,4,0,17,7,10,16,2,13.7,6,7.6,0.96
3,São Paulo,8,4,3,1,14,7,7,15,1.88,11.8,8,3.8,0.47
4,Atlético Mineiro,8,4,2,2,12,7,5,14,1.75,12.1,7.5,4.5,0.56
5,Grêmio,8,4,2,2,12,11,1,14,1.75,8.8,12.9,-4.2,-0.52
6,Cruzeiro,8,4,1,3,12,7,5,13,1.63,12.8,10.8,2,0.24
7,Flamengo,8,4,1,3,14,10,4,13,1.63,15.2,8.6,6.6,0.82
8,Fluminense,8,4,1,3,12,8,4,13,1.63,11.4,13.8,-2.4,-0.3
9,Fortaleza,8,3,4,1,12,6,6,13,1.63,15,6.6,8.4,1.05
10,Bragantino,8,3,4,1,13,11,2,13,1.63,11.8,10.3,1.5,0.19
11,Atl Paranaense,8,4,0,4,11,11,0,12,1.5,9.7,8.9,0.8,0.1
12,Santos,8,3,2,3,8,7,1,11,1.38,8.3,10.7,-2.4,-0.3
13,Internacional,8,3,1,4,7,11,-4,10,1.25,7.7,11.5,-3.8,-0.48
14,Corinthians,8,2,2,4,8,12,-4,8,1,7.5,9.2,-1.6,-0.2
15,Cuiabá,8,2,2,4,7,13,-6,8,1,6.6,12.3,-5.7,-0.71
16,Bahia,8,2,1,5,9,14,-5,7,0.88,9.9,9.8,0,0
17,Goiás,8,2,1,5,7,15,-8,7,0.88,7.6,11.8,-4.2,-0.52
18,Vasco da Gama,8,1,3,4,8,13,-5,6,0.75,8.9,11,-2.1,-0.27
19,América (MG),8,1,1,6,7,20,-13,4,0.5,9.3,15.2,-5.9,-0.74
20,Coritiba,8,0,3,5,7,17,-10,3,0.38,6.6,12.2,-5.6,-0.7